;;Kroppsøving vg1;;;;;
;1STB/KRO1017;KRO1017;1 gruppe;1STB;;Nei;
;;Kroppsøving vg1;;;;;
;1STG/GEO1003;GEO1003;1 gruppe;1STG;;Nei;
;;Geografi;;;;;
;1STH/GEO1003;GEO1003;1 gruppe;1STH;;Nei;
;;Geografi;;;;;
;2ITKAB/KRO1018;KRO1018;1 gruppe;2ITKA, 2ITKB;;Nei;
;;Kroppsøving vg2;;;;;
;2ITKA/ITK2003;ITK2003;1 gruppe;2ITKA;;Nei;
;;Utvikling;;;;;
;2ITKAB/SAK1001;SAK1001;1 gruppe;2ITKA, 2ITKB;;Nei;
;;Samfunnskunnskap;;;;;
;2ITKA/ITK2001;ITK2001;1 gruppe;2ITKA;;Nei;
;;Driftsstøtte;;;;;
;2ITKA/ITK2002;ITK2002;1 gruppe;2ITKA;;Nei;
;;Brukerstøtte;;;;;
;2SRLB/YFF4209;YFF4209;1 gruppe;2SRLB;;Nei;
;;Yrkesfaglig fordypning vg2;;;;;
;2MEDA/KRO1018;KRO1018;1 gruppe;2MEDA;;Nei;
;;Kroppsøving vg2;;;;;
;1STE/GEO1003;GEO1003;1 gruppe;1STE;;Nei;
;;Geografi;;;;;
;1STF/GEO1003;GEO1003;1 gruppe;1STF;;Nei;
;;Geografi;;;;;
;3STC/NOR1267;NOR1267;1 gruppe;3STC;;Nei;
;;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;;;;;
;3STH/NOR1267;NOR1267;1 gruppe;3STH;;Nei;
;;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;;;;;
;3PBYA/MAT1151;MAT1151;1 gruppe;3PBYA;;Nei;
;;Matematikk 2P-Y;;;;;
;3STA/NOR1267;NOR1267;1 gruppe;3STA;;Nei;
;;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;;;;;
;3STB/NOR1267;NOR1267;1 gruppe;3STB;;Nei;
;;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;;;;;
;2STD/NOR1264;NOR1264;1 gruppe;2STD;;Nei;
;;Norsk, vg2 studieforberedende utdanningsprogram, skriftlig;;;;;
;3STD/NOR1267;NOR1267;1 gruppe;3STD;;Nei;
;;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;;;;;
;3STF/NOR1267;NOR1267;1 gruppe;3STF;;Nei;
;;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;;;;;
;2STA/NOR1264;NOR1264;1 gruppe;2STA;;Nei;
;;Norsk, vg2 studieforberedende utdanningsprogram, skriftlig;;;;;
;2STB/NOR1264;NOR1264;1 gruppe;2STB;;Nei;
;;Norsk, vg2 studieforberedende utdanningsprogram, skriftlig;;;;;
;2ITKA/YFF4209;YFF4209;1 gruppe;2ITKA;;Nei;
;;Yrkesfaglig fordypning vg2;;;;;
;2STE/NOR1264;NOR1264;1 gruppe;2STE;;Nei;
;;Norsk, vg2 studieforberedende utdanningsprogram, skriftlig;;;;;
;2STF/NOR1264;NOR1264;1 gruppe;2STF;;Nei;
;;Norsk, vg2 studieforberedende utdanningsprogram, skriftlig;;;;;
;1SRB/YFF4106;YFF4106;1 gruppe;1SRB;;Nei;
;;Yrkesfaglig fordypning vg1;;;;;
;2STH/NOR1264;NOR1264;1 gruppe;2STH;;Nei;
;;Norsk, vg2 studieforberedende utdanningsprogram, skriftlig;;;;;
;3STC/KRO1019;KRO1019;1 gruppe;3STC;;Nei;
;;Kroppsøving Vg3;;;;;
;3STE/KRO1019;KRO1019;1 gruppe;3STE;;Nei;
;;Kroppsøving Vg3;;;;;
;3STF/KRO1019;KRO1019;1 gruppe;3STF;;Nei;
;;Kroppsøving Vg3;;;;;
;3STD/KRO1019;KRO1019;1 gruppe;3STD;;Nei;
;;Kroppsøving Vg3;;;;;
;3STC/REL1003;REL1003;1 gruppe;3STC;;Nei;
;;Religion og etikk;;;;;
;3STH/REL1003;REL1003;1 gruppe;3STH;;Nei;
;;Religion og etikk;;;;;
;3STE/REL1003;REL1003;1 gruppe;3STE;;Nei;
;;Religion og etikk;;;;;
;3STF/REL1003;REL1003;1 gruppe;3STF;;Nei;
;;Religion og etikk;;;;;
;3STG/REL1003;REL1003;1 gruppe;3STG;;Nei;
;;Religion og etikk;;;;;
;3STB/KRO1019;KRO1019;1 gruppe;3STB;;Nei;
;;Kroppsøving Vg3;;;;;
;1MKA/ENG1007;ENG1007;1 gruppe;1MKA;;Nei;
;;Engelsk vg1 studieforberedende utdanningsprogram;;;;;
;3STG/KRO1019;KRO1019;1 gruppe;3STG;;Nei;
;;Kroppsøving Vg3;;;;;
;3STH/KRO1019;KRO1019;1 gruppe;3STH;;Nei;
;;Kroppsøving Vg3;;;;;
;Rothaugen 1T/MAT1021;MAT1021;1 gruppe;Rothaugen 1T;;Nei;
;;Matematikk 1T;;;;;
;3STD/REL1003;REL1003;1 gruppe;3STD;;Nei;
;;Religion og etikk;;;;;
;3PBYA/KRO1019;KRO1019;1 gruppe;3PBYA;;Nei;
;;Kroppsøving Vg3;;;;;
;3STB/REL1003;REL1003;1 gruppe;3STB;;Nei;
;;Religion og etikk;;;;;
;1SRA/YFF4106;YFF4106;1 gruppe;1SRA;;Nei;
;;Yrkesfaglig fordypning vg1;;;;;
;3MKA/MOK2010;MOK2010;1 gruppe;3MKA;;Nei;
;;Mediesamfunnet 3;;;;;
